Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,EURINR,1016102,FUTCUR,,,EURINR2023818FUT,EURINR2023818FUT,EURINR 18AUG23 FUT,2023-08-18,1,0.0025
BCD,bcs_fo,EURINR,1010276,FUTCUR,,,EURINR2023707FUT,EURINR2023707FUT,EURINR 07JUL23 FUT,2023-07-07,1,0.0025
BCD,bcs_fo,JPYINR,1024219,FUTCUR,,,JPYINR2023727FUT,JPYINR2023727FUT,JPYINR 27JUL23 FUT,2023-07-27,1,0.0025
BCD,bcs_fo,JPYINR,1027341,FUTCUR,,,JPYINR2023829FUT,JPYINR2023829FUT,JPYINR 29AUG23 FUT,2023-08-29,1,0.0025
BCD,bcs_fo,JPYINR,1031941,FUTCUR,,,JPYINR2023926FUT,JPYINR2023926FUT,JPYINR 26SEP23 FUT,2023-09-26,1,0.0025
BCD,bcs_fo,JPYINR,1034925,FUTCUR,,,JPYINR20231027FUT,JPYINR20231027FUT,JPYINR 27OCT23 FUT,2023-10-27,1,0.0025
BCD,bcs_fo,JPYINR,1038648,FUTCUR,,,JPYINR20231128FUT,JPYINR20231128FUT,JPYINR 28NOV23 FUT,2023-11-28,1,0.0025
BCD,bcs_fo,JPYINR,1043016,FUTCUR,,,JPYINR20231227FUT,JPYINR20231227FUT,JPYINR 27DEC23 FUT,2023-12-27,1,0.0025
BCD,bcs_fo,JPYINR,1045816,FUTCUR,,,JPYINR2024129FUT,JPYINR2024129FUT,JPYINR 29JAN24 FUT,2024-01-29,1,0.0025
BCD,bcs_fo,JPYINR,1001740,FUTCUR,,,JPYINR2024227FUT,JPYINR2024227FUT,JPYINR 27FEB24 FUT,2024-02-27,1,0.0025
BCD,bcs_fo,JPYINR,1007426,FUTCUR,,,JPYINR2024327FUT,JPYINR2024327FUT,JPYINR 27MAR24 FUT,2024-03-27,1,0.0025
BCD,bcs_fo,JPYINR,1010823,FUTCUR,,,JPYINR2024426FUT,JPYINR2024426FUT,JPYINR 26APR24 FUT,2024-04-26,1,0.0025
BCD,bcs_fo,JPYINR,1015272,FUTCUR,,,JPYINR2024529FUT,JPYINR2024529FUT,JPYINR 29MAY24 FUT,2024-05-29,1,0.0025
BCD,bcs_fo,JPYINR,1018755,FUTCUR,,,JPYINR2024626FUT,JPYINR2024626FUT,JPYINR 26JUN24 FUT,2024-06-26,1,0.0025
BCD,bcs_fo,JPYINR,1018190,FUTCUR,,,JPYINR2023908FUT,JPYINR2023908FUT,JPYINR 08SEP23 FUT,2023-09-08,1,0.0025
BCD,bcs_fo,JPYINR,2115334,FUTCUR,,,JPYINR2023721FUT,JPYINR2023721FUT,JPYINR 21JUL23 FUT,2023-07-21,1,0.0025
BCD,bcs_fo,JPYINR,1016704,FUTCUR,,,JPYINR2023825FUT,JPYINR2023825FUT,JPYINR 25AUG23 FUT,2023-08-25,1,0.0025
BCD,bcs_fo,JPYINR,1017365,FUTCUR,,,JPYINR2023901FUT,JPYINR2023901FUT,JPYINR 01SEP23 FUT,2023-09-01,1,0.0025
BCD,bcs_fo,JPYINR,1011362,FUTCUR,,,JPYINR2023714FUT,JPYINR2023714FUT,JPYINR 14JUL23 FUT,2023-07-14,1,0.0025
BCD,bcs_fo,JPYINR,1016103,FUTCUR,,,JPYINR2023818FUT,JPYINR2023818FUT,JPYINR 18AUG23 FUT,2023-08-18,1,0.0025
BCD,bcs_fo,JPYINR,1010277,FUTCUR,,,JPYINR2023707FUT,JPYINR2023707FUT,JPYINR 07JUL23 FUT,2023-07-07,1,0.0025
BCD,bcs_fo,JPYINR,1014672,FUTCUR,,,JPYINR2023811FUT,JPYINR2023811FUT,JPYINR 11AUG23 FUT,2023-08-11,1,0.0025
BCD,bcs_fo,JPYINR,1019170,FUTCUR,,,JPYINR2023915FUT,JPYINR2023915FUT,JPYINR 15SEP23 FUT,2023-09-15,1,0.0025
BCD,bcs_fo,JPYINR,1013101,FUTCUR,,,JPYINR2023728FUT,JPYINR2023728FUT,JPYINR 28JUL23 FUT,2023-07-28,1,0.0025
BCD,bcs_fo,JPYINR,1013845,FUTCUR,,,JPYINR2023804FUT,JPYINR2023804FUT,JPYINR 04AUG23 FUT,2023-08-04,1,0.0025
BCD,bcs_fo,USDINR,1010283,OPTCUR,CE,81.9,USDINR202370781.9CE,USDINR202370781.9CE,USDINR 07JUL23 81.9 CE,2023-07-07,1,0.0025
