id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
8039,CDS,cde_fo,USDINR,12316,OPTCUR,CE,87,USDINR04AUGUST2387CE,USDINR2380487CE,USDINR 04AUG23 87 CE,04-08-2023,1,0.0025,87,,87
8040,CDS,cde_fo,USDINR,12317,OPTCUR,PE,87,USDINR04AUGUST2387PE,USDINR2380487PE,USDINR 04AUG23 87 PE,04-08-2023,1,0.0025,87,,87
8041,CDS,cde_fo,USDINR,12318,OPTCUR,CE,87.25,USDINR04AUGUST2387.25CE,USDINR2380487.25CE,USDINR 04AUG23 87.25 CE,04-08-2023,1,0.0025,87,25,87.25
8042,CDS,cde_fo,USDINR,12319,OPTCUR,PE,87.25,USDINR04AUGUST2387.25PE,USDINR2380487.25PE,USDINR 04AUG23 87.25 PE,04-08-2023,1,0.0025,87,25,87.25
8043,CDS,cde_fo,USDINR,12320,OPTCUR,CE,87.5,USDINR04AUGUST2387.5CE,USDINR2380487.5CE,USDINR 04AUG23 87.5 CE,04-08-2023,1,0.0025,87,5,87.5
8044,CDS,cde_fo,USDINR,12321,OPTCUR,PE,87.5,USDINR04AUGUST2387.5PE,USDINR2380487.5PE,USDINR 04AUG23 87.5 PE,04-08-2023,1,0.0025,87,5,87.5
8045,CDS,cde_fo,USDINR,12322,OPTCUR,CE,87.75,USDINR04AUGUST2387.75CE,USDINR2380487.75CE,USDINR 04AUG23 87.75 CE,04-08-2023,1,0.0025,87,75,87.75
8046,CDS,cde_fo,USDINR,12323,OPTCUR,PE,87.75,USDINR04AUGUST2387.75PE,USDINR2380487.75PE,USDINR 04AUG23 87.75 PE,04-08-2023,1,0.0025,87,75,87.75
8047,CDS,cde_fo,USDINR,12324,OPTCUR,CE,88,USDINR04AUGUST2388CE,USDINR2380488CE,USDINR 04AUG23 88 CE,04-08-2023,1,0.0025,88,,88
8048,CDS,cde_fo,USDINR,12325,OPTCUR,PE,88,USDINR04AUGUST2388PE,USDINR2380488PE,USDINR 04AUG23 88 PE,04-08-2023,1,0.0025,88,,88
8049,CDS,cde_fo,USDINR,12326,OPTCUR,CE,88.25,USDINR04AUGUST2388.25CE,USDINR2380488.25CE,USDINR 04AUG23 88.25 CE,04-08-2023,1,0.0025,88,25,88.25
8050,CDS,cde_fo,USDINR,12327,OPTCUR,PE,88.25,USDINR04AUGUST2388.25PE,USDINR2380488.25PE,USDINR 04AUG23 88.25 PE,04-08-2023,1,0.0025,88,25,88.25
8051,CDS,cde_fo,USDINR,12328,OPTCUR,CE,88.5,USDINR04AUGUST2388.5CE,USDINR2380488.5CE,USDINR 04AUG23 88.5 CE,04-08-2023,1,0.0025,88,5,88.5
8052,CDS,cde_fo,USDINR,12329,OPTCUR,PE,88.5,USDINR04AUGUST2388.5PE,USDINR2380488.5PE,USDINR 04AUG23 88.5 PE,04-08-2023,1,0.0025,88,5,88.5
8053,CDS,cde_fo,USDINR,12330,OPTCUR,CE,88.5,USDINR27MARCH2488.5CE,USDINR24MAR88.5CE,USDINR 27MAR24 88.5 CE,27-03-2024,1,0.0025,88,5,88.5
8054,CDS,cde_fo,USDINR,12331,OPTCUR,PE,88.5,USDINR27MARCH2488.5PE,USDINR24MAR88.5PE,USDINR 27MAR24 88.5 PE,27-03-2024,1,0.0025,88,5,88.5
8055,CDS,cde_fo,JPYINR,12332,OPTCUR,CE,61,JPYINR26JUNE2461CE,JPYINR24JUN61CE,JPYINR 26JUN24 61 CE,26-06-2024,1,0.0025,61,,61
8056,CDS,cde_fo,JPYINR,12333,OPTCUR,PE,61,JPYINR26JUNE2461PE,JPYINR24JUN61PE,JPYINR 26JUN24 61 PE,26-06-2024,1,0.0025,61,,61
8057,CDS,cde_fo,USDJPY,12334,OPTCUR,CE,150,USDJPY27JULY23150CE,USDJPY23JUL150CE,USDJPY 27JUL23 150 CE,27-07-2023,1,0.01,150,,150
8058,CDS,cde_fo,USDJPY,12335,OPTCUR,PE,150,USDJPY27JULY23150PE,USDJPY23JUL150PE,USDJPY 27JUL23 150 PE,27-07-2023,1,0.01,150,,150
8059,CDS,cde_fo,USDJPY,12336,OPTCUR,CE,150,USDJPY27DECEMBER23150CE,USDJPY23DEC150CE,USDJPY 27DEC23 150 CE,27-12-2023,1,0.01,150,,150
8060,CDS,cde_fo,USDJPY,12337,OPTCUR,PE,150,USDJPY27DECEMBER23150PE,USDJPY23DEC150PE,USDJPY 27DEC23 150 PE,27-12-2023,1,0.01,150,,150
8061,CDS,cde_fo,USDJPY,12338,OPTCUR,CE,150,USDJPY27MARCH24150CE,USDJPY24MAR150CE,USDJPY 27MAR24 150 CE,27-03-2024,1,0.01,150,,150
8062,CDS,cde_fo,USDJPY,12339,OPTCUR,PE,150,USDJPY27MARCH24150PE,USDJPY24MAR150PE,USDJPY 27MAR24 150 PE,27-03-2024,1,0.01,150,,150
8063,CDS,cde_fo,GBPINR,12340,OPTCUR,CE,109,GBPINR04AUGUST23109CE,GBPINR23804109CE,GBPINR 04AUG23 109 CE,04-08-2023,1,0.0025,109,,109
8064,CDS,cde_fo,GBPINR,12341,OPTCUR,PE,109,GBPINR04AUGUST23109PE,GBPINR23804109PE,GBPINR 04AUG23 109 PE,04-08-2023,1,0.0025,109,,109
