Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,GOLD,256129,OPTFUT,CE,65600,GOLD24JAN65600CE,GOLD24JAN65600CE,GOLD 24JAN24 65600 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,256130,OPTFUT,PE,65600,GOLD24JAN65600PE,GOLD24JAN65600PE,GOLD 24JAN24 65600 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,256746,OPTFUT,CE,65700,GOLD24JAN65700CE,GOLD24JAN65700CE,GOLD 24JAN24 65700 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,256747,OPTFUT,PE,65700,GOLD24JAN65700PE,GOLD24JAN65700PE,GOLD 24JAN24 65700 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,256748,OPTFUT,CE,65800,GOLD24JAN65800CE,GOLD24JAN65800CE,GOLD 24JAN24 65800 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,256749,OPTFUT,PE,65800,GOLD24JAN65800PE,GOLD24JAN65800PE,GOLD 24JAN24 65800 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,CRUDEOIL,253460,FUTCOM,,0,CRUDEOIL23AUGFUT,CRUDEOIL23AUGFUT,CRUDEOIL 21AUG23 FUT,2023-08-21,100,1.0,100
MCX,mcx_fo,NICKEL,253803,FUTCOM,,0,NICKEL23JULFUT,NICKEL23JULFUT,NICKEL 31JUL23 FUT,2023-07-31,1500,0.1,16
MCX,mcx_fo,LEAD,253804,FUTCOM,,0,LEAD23JULFUT,LEAD23JULFUT,LEAD 31JUL23 FUT,2023-07-31,5,0.05,20
MCX,mcx_fo,LEADMINI,253805,FUTCOM,,0,LEADMINI23JULFUT,LEADMINI23JULFUT,LEADMINI 31JUL23 FUT,2023-07-31,1,0.05,100
MCX,mcx_fo,ALUMINIUM,253806,FUTCOM,,0,ALUMINIUM23JULFUT,ALUMINIUM23JULFUT,ALUMINIUM 31JUL23 FUT,2023-07-31,5,0.05,30
